final_pnl,final_risk_adjusted_pnl,total_fills,max_inventory,inventory_std,max_drawdown,adverse_selection_cost,sharpe_like,policy,seed
256.26366869951994,256.22316869951993,3559,20,10.0041032622421,17.58014286255093,50.52316246659601,5.795989762614945,fixed,0
207.78994719587627,207.60944719587627,3675,20,11.963859708909451,32.551805252501026,53.18624782085143,4.000169785975856,fixed,1
298.1222408714584,298.0242408714584,3664,20,11.832112667842152,21.648465233022534,53.66516530444165,5.936048360285548,fixed,2
228.40659470394667,228.34609470394668,3665,20,9.514816995855774,31.85710592021428,50.346019744033704,4.63217396431636,fixed,3
199.20833659711775,199.11033659711774,3584,20,10.220085740718,22.27429644878157,51.871903378119256,4.512897818201718,fixed,4
122.34514114075955,122.26064114075955,3603,20,12.292428169385849,30.802301996872757,51.30723160237582,2.294727606171305,fixed,5
181.63676305675767,181.57626305675768,3579,20,10.799369557022148,30.011607681682563,51.61240705299749,3.689405874260852,fixed,6
156.9571385774325,156.85913857743247,3534,20,12.784363972275031,32.98460189857428,50.85960630013793,2.689357336400844,fixed,7
158.37399984496494,158.34199984496493,3548,20,12.836320304255485,31.391206479108632,50.10713169770944,2.916702165174239,fixed,8
235.12440646178402,235.026406461784,3494,20,9.637161139113637,24.617574751407574,50.283649065283576,4.6461321023095365,fixed,9
190.28510226730407,190.28060226730406,3463,20,6.146400151450198,34.226657590402965,49.954642670570884,2.957873346710822,fixed,10
163.37002355613055,163.36952355613056,3651,20,9.888692990606083,54.92761196766605,52.75856257455405,3.262183882018042,fixed,11
170.35305189986343,170.22505189986344,3588,20,12.330668920208689,27.384234501581545,51.372288392332266,3.0649277277176834,fixed,12
190.02195963915938,189.84145963915938,3591,20,11.399702081979083,17.814134455391695,50.2367266549174,3.8923452647939465,fixed,13
260.2440596845322,260.2435596845322,3659,20,11.836839842156877,19.17346852780122,51.850383091010414,5.144550967871398,fixed,14
139.36156021241732,139.30106021241733,3657,20,9.819004499055136,51.349144139087684,52.92580730937343,3.150400250296432,fixed,15
222.9482107942331,222.94021079423308,3624,20,11.121482570512955,15.172142871911774,50.848778393043304,4.688350453010535,fixed,16
232.76161382268094,232.73711382268095,3731,20,9.575988720649226,17.449445681798124,54.62872334337576,5.621605330114956,fixed,17
232.1128677112331,232.0523677112331,3633,20,11.167184344220619,32.92672342769697,52.887174164334006,4.836248676974597,fixed,18
338.30372298758175,338.1417229875818,3594,20,10.415040468039537,16.461483020711967,51.37128768301482,6.49871384290912,fixed,19
248.85646656755716,248.71196656755717,3557,20,12.959769663905284,54.296776988637475,50.88044737656164,4.39063292562743,fixed,20
128.11059545794092,127.98259545794092,3598,20,11.419043947097798,25.210503569765137,52.08078739279379,2.456636167471907,fixed,21
72.09915891073291,72.08665891073291,3597,20,8.807663904644022,52.52434338208673,50.202798676953805,1.3206857515498773,fixed,22
158.70062407922842,158.6026240792284,3710,20,10.831020747280112,32.292498490687876,52.62820672110882,3.321527063326232,fixed,23
225.3739126553712,225.3659126553712,3610,20,12.448734392977318,41.43326748854861,52.06944474539328,4.136991621668232,fixed,24
215.24333305979735,215.09883305979736,3719,20,11.331555381648728,48.839043230252855,52.939647082777256,4.067090659889938,fixed,25
276.4808805386828,276.46288053868284,3596,20,11.641714314185599,20.59053344033009,49.83060270559473,5.426139565632969,fixed,26
175.0952425089372,174.8952425089372,3606,20,11.251987215523972,22.305992218751726,51.84960968508191,3.581210685385901,fixed,27
115.72502862667807,115.58052862667807,3563,20,13.387022467898683,54.40265489818307,50.8721285868556,2.0510083511038397,fixed,28
150.3499248637725,150.34792486377248,3644,20,9.91355826176312,36.24129067693366,52.38007460757607,3.477571795277471,fixed,29
173.3784566978198,173.3779566978198,3755,8,2.11046254174463,2.449500514080114,53.731894030272784,18.29468515369216,inventory,0
171.85056748492417,171.84256748492416,3892,9,2.2487528731442428,3.141768565817131,56.5424234131537,17.160929644083687,inventory,1
171.48275000414682,171.48225000414683,3785,8,2.227811166735258,3.160116620214069,55.54607804695255,17.38045438192278,inventory,2
185.93688391557328,185.93688391557328,3838,8,2.0186712682318024,2.195542268144436,52.99080255704203,20.866957949254857,inventory,3
192.95656924827114,192.95656924827114,3818,9,2.1140405473574932,2.060047253330538,54.56930793846033,20.47219728432487,inventory,4
