,final_pnl,final_pnl,final_risk_adjusted_pnl,final_risk_adjusted_pnl,total_fills,total_fills,max_inventory,max_inventory,inventory_std,inventory_std,max_drawdown,max_drawdown,adverse_selection_cost,adverse_selection_cost,sharpe_like,sharpe_like
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
policy,,,,,,,,,,,,,,,,
fixed,198.3342,58.3621,198.2549,58.3598,3609.8667,61.7211,20.0,0.0,10.9859,1.4993,31.6914,12.5654,51.611,1.2249,3.9487,1.2449
inventory,175.9422,7.4804,175.9402,7.4815,3816.3333,41.5562,8.3,0.7497,2.1194,0.0831,3.0192,0.8666,54.6286,0.9792,18.6289,1.2479
inventory_volatility,243.9317,8.4536,243.9295,8.4541,2675.2333,31.9447,7.4667,0.7303,2.0695,0.0818,2.6997,0.6138,38.1567,0.9999,24.6385,1.3772
volatility,254.6857,51.7135,254.6061,51.7083,2530.9667,48.4451,20.0,0.0,10.4104,1.642,28.0173,10.2864,36.1326,1.2647,5.1139,1.139
