step,midprice,bid,ask,inventory,cash,pnl,risk_adjusted_pnl,fills,adverse_selection_cost,incoming_order
21,99.949472296258,99.83042394562024,100.04042394562025,-1,100.0956810777099,0.14620878145190375,0.14570878145190375,1,0.0,
22,99.93942574535842,99.85947229625799,100.069472296258,-1,100.0956810777099,0.1562553323514777,0.1557553323514777,1,0.0,
23,99.9570124152992,99.84942574535842,100.05942574535842,-1,100.0956810777099,0.1386686624106943,0.1381686624106943,1,0.0,
24,99.9808128323552,99.8670124152992,100.07701241529921,-1,100.0956810777099,0.11486824535469964,0.11436824535469964,1,0.0,buy
25,99.94254224265507,99.8908128323552,100.1008128323552,0,0.2028682453547077,0.2028682453547077,0.2028682453547077,2,0.03827058970013766,sell
26,99.94681501473718,99.83754224265506,100.04754224265507,0,0.2028682453547077,0.2028682453547077,0.2028682453547077,2,0.03827058970013766,
27,99.93399743534708,99.84181501473718,100.05181501473719,0,0.2028682453547077,0.2028682453547077,0.2028682453547077,2,0.03827058970013766,
28,99.9527651471661,99.82899743534708,100.03899743534708,0,0.2028682453547077,0.2028682453547077,0.2028682453547077,2,0.03827058970013766,
29,99.96646840429283,99.8477651471661,100.05776514716611,-1,100.25863339252082,0.2921649882279951,0.2916649882279951,3,0.05197384682686,buy
30,99.93059321492515,99.87646840429282,100.08646840429283,-1,100.25863339252082,0.3280401775956676,0.3275401775956676,3,0.05197384682686,
31,99.91651114471907,99.84059321492515,100.05059321492516,-1,100.25863339252082,0.34212224780175404,0.34162224780175404,3,0.05197384682686,
32,99.93093354448624,99.82651114471906,100.03651114471907,-1,100.25863339252082,0.32769984803458385,0.32719984803458385,3,0.05197384682686,
33,99.95089509775542,99.84093354448623,100.05093354448624,0,0.4156998480345919,0.4156998480345919,0.4156998480345919,4,0.05197384682686,sell
34,99.90748172358273,99.84589509775542,100.05589509775542,0,0.4156998480345919,0.4156998480345919,0.4156998480345919,4,0.05197384682686,sell
35,99.89613684696155,99.80248172358273,100.01248172358274,0,0.4156998480345919,0.4156998480345919,0.4156998480345919,4,0.05197384682686,
36,99.88544892782971,99.79113684696155,100.00113684696156,0,0.4156998480345919,0.4156998480345919,0.4156998480345919,4,0.05197384682686,
37,99.85744039742941,99.78044892782971,99.99044892782972,0,0.4156998480345919,0.4156998480345919,0.4156998480345919,4,0.05197384682686,sell
38,99.88264964155313,99.75244039742941,99.96244039742942,1,-99.33874054939481,0.5439090921583158,0.5434090921583159,5,0.05197384682686,sell
39,99.83926790592147,99.76264964155312,99.97264964155313,1,-99.33874054939481,0.5005273565266606,0.5000273565266606,5,0.05197384682686,
40,99.82338312464957,99.71926790592147,99.92926790592148,1,-99.33874054939481,0.4846425752547532,0.4841425752547532,5,0.05197384682686,
41,99.82403868901527,99.70338312464956,99.91338312464957,1,-99.33874054939481,0.4852981396204541,0.4847981396204541,5,0.05197384682686,
42,99.81685802019108,99.70403868901526,99.91403868901527,1,-99.33874054939481,0.47811747079626343,0.47761747079626343,5,0.05197384682686,buy
43,99.84191135756852,99.69685802019107,99.90685802019108,1,-99.33874054939481,0.5031708081737065,0.5026708081737066,5,0.05197384682686,buy
44,99.82271881158603,99.72191135756852,99.93191135756852,1,-99.33874054939481,0.483978262191215,0.483478262191215,5,0.05197384682686,
45,99.81102451749136,99.70271881158602,99.91271881158603,1,-99.33874054939481,0.4722839680965478,0.4717839680965478,5,0.05197384682686,buy
46,99.78055714505514,99.69102451749136,99.90102451749136,1,-99.33874054939481,0.4418165956603275,0.4413165956603275,5,0.05197384682686,
47,99.80570094209197,99.66055714505514,99.87055714505514,1,-99.33874054939481,0.4669603926971604,0.4664603926971604,5,0.05197384682686,
48,99.8931168160722,99.68570094209197,99.89570094209198,1,-99.33874054939481,0.5543762666773802,0.5538762666773802,5,0.05197384682686,
49,99.86343067247124,99.77311681607219,99.9831168160722,1,-99.33874054939481,0.5246901230764252,0.5241901230764252,5,0.05197384682686,
50,99.87146201634155,99.74343067247123,99.95343067247124,0,0.6126901230764332,0.6126901230764332,0.6126901230764332,6,0.060005190697175075,buy
51,99.90344142326518,99.76646201634155,99.97646201634156,0,0.6126901230764332,0.6126901230764332,0.6126901230764332,6,0.060005190697175075,
52,99.89868237815402,99.79844142326517,100.00844142326518,0,0.6126901230764332,0.6126901230764332,0.6126901230764332,6,0.060005190697175075,
53,99.84844188981289,99.79368237815402,100.00368237815402,0,0.6126901230764332,0.6126901230764332,0.6126901230764332,6,0.060005190697175075,
